	
locus	Mean	Lower_95%CI	Upper_95%CI	
Locus671	0.056	0.0363	0.0768	
Locus672	0.0409	0.0219	0.0659	
Locus673	0.0288	0.0095	0.0529	
Locus674	0.0154	0.0055	0.0311	
Locus675	0.0236	0.0099	0.0451	
Locus676	0.0311	0.0149	0.0517	
Locus677	0.0739	0.0468	0.0971	
Locus678	0.0252	0.0108	0.0407	
Locus679	0.0445	0.0233	0.0695	
Locus680	0.0442	0.025	0.0675	
Locus681	0.0217	0.0097	0.0353	
Locus682	0.0167	0.0066	0.0338	
Locus683	0.0231	0.0091	0.0444	
Locus684	0.0476	0.0303	0.0688	
Locus685	0.0253	0.0098	0.0409	
Locus686	0.0303	0.0128	0.056	
Locus687	0.0182	0.005	0.0455	
Locus688	0.0162	0.0052	0.0361	
Locus689	0.0389	0.0204	0.0633	
Locus690	0.031	0.0138	0.0521	
Locus691	0.025	0.0097	0.0415	
Locus692	0.0411	0.0181	0.0682	
Locus693	0.0375	0.0187	0.0594	
Locus694	0.055	0.0351	0.0851	
Locus695	0.0225	0.0086	0.0424	
Locus696	0.0382	0.0214	0.0592	
Locus697	0.0384	0.02	0.0629	
Locus698	0.0162	0.0053	0.039	
Locus699	0.0324	0.0139	0.0558	
Locus700	0.0299	0.0117	0.056	
Locus701	0.0252	0.0095	0.0459	
Locus702	0.0329	0.018	0.056	
Locus703	0.0335	0.0176	0.0607	
Locus704	0.0466	0.024	0.0784	
Locus705	0.0314	0.0089	0.0659	
Locus706	0.0206	0.0075	0.0414	
Locus707	0.0523	0.0324	0.0774	
Locus708	0.0562	0.0358	0.081	
Locus709	0.0228	0.0066	0.0572	
Locus710	0.0356	0.0143	0.0582	
Locus711	0.0223	0.0064	0.0499	
Locus712	0.0266	0.0124	0.0488	
Locus713	0.0695	0.0451	0.0942	
Locus714	0.0247	0.012	0.045	
Locus715	0.0176	0.0049	0.0336	
Locus716	0.0159	0.0042	0.0344	
Locus717	0.0276	0.0108	0.0522	
Locus718	0.0288	0.0078	0.0668	
Locus719	0.0329	0.0152	0.0553	
Locus720	0.0715	0.0444	0.1018	
Locus721	0.0515	0.0318	0.0771	
Locus722	0.0353	0.0136	0.0633	
Locus723	0.0326	0.0135	0.0549	
Locus724	0.0252	0.0066	0.0506	
Locus725	0.027	0.0114	0.0471	
Locus726	0.0202	0.0082	0.0395	
Locus727	0.0554	0.031	0.0801	
Locus728	0.0231	0.0097	0.0472	
Locus729	0.0517	0.0298	0.086	
Locus730	0.0378	0.0178	0.0654	
Locus731	0.0166	0.0061	0.0365	
Locus732	0.0624	0.0361	0.0953	
Locus733	0.0216	0.0076	0.0408	
Locus734	0.0189	0.0077	0.0325	
Locus735	0.0444	0.026	0.063	
Locus736	0.0228	0.0063	0.0458	
Locus737	0.0154	0.0034	0.0317	
Locus738	0.0269	0.0104	0.0461	
Locus739	0.0302	0.0121	0.0576	
Locus740	0.0462	0.0219	0.0741	
Locus741	0.0343	0.0187	0.0572	
Locus742	0.0352	0.0179	0.0607	
Locus743	0.028	0.0123	0.0495	
Locus744	0.0274	0.0122	0.0469	
Locus745	0.0479	0.0227	0.082	
Locus746	0.0356	0.0163	0.0615	
Locus747	0.0412	0.019	0.0647	
Locus748	0.0497	0.0263	0.0807	
Locus749	0.0776	0.0545	0.1001	
Locus750	0.023	0.0062	0.0487	
Locus751	0.018	0.0076	0.0374	
Locus752	0.0301	0.0145	0.0476	
Locus753	0.0426	0.0244	0.0611	
Locus754	0.0356	0.0185	0.0613	
Locus755	0.012	0.0026	0.0259	
Locus756	0.0362	0.0208	0.055	
Locus757	0.0234	0.01	0.0407	
Locus758	0.0347	0.0189	0.055	
Locus759	0.0425	0.0271	0.0675	
Locus760	0.0413	0.0205	0.0691	
Locus761	0.0353	0.0164	0.0585	
Locus762	0.0254	0.0133	0.0446	
Locus763	0.0419	0.0258	0.0678	
Locus764	0.0292	0.0149	0.0497	
Locus765	0.018	0.0074	0.0328	
Locus766	0.038	0.0169	0.0608	
Locus767	0.0278	0.0136	0.0471	
Locus768	0.0157	0.0059	0.0297	
Locus769	0.0413	0.0189	0.0687	
Locus770	0.0428	0.0259	0.0639	
Locus771	0.0505	0.0289	0.0854	
Locus772	0.0238	0.0104	0.0431	
Locus773	0.0654	0.0377	0.0958	
Locus774	0.0216	0.0095	0.0406	
Locus775	0.0493	0.0279	0.0746	
Locus776	0.0306	0.0164	0.0528	
Locus777	0.0194	0.0073	0.0373	
Locus778	0.0284	0.011	0.0487	
Locus779	0.0193	0.0093	0.0332	
Locus780	0.0224	0.0069	0.039	
Locus781	0.0326	0.0161	0.0564	
Locus782	0.0182	0.006	0.0348	
Locus783	0.0398	0.0183	0.0659	
Locus784	0.0452	0.0273	0.0701	
Locus785	0.0324	0.0095	0.0591	
Locus786	0.0294	0.0149	0.0498	
Locus787	0.0195	0.0077	0.0398	
Locus788	0.0473	0.0263	0.0714	
Locus789	0.0137	0.0022	0.0296	
Locus790	0.0704	0.042	0.105	
Locus791	0.0174	0.006	0.0343	
Locus792	0.0592	0.0375	0.0869	
Locus793	0.0269	0.0125	0.0471	
Locus794	0.0133	0.0027	0.0299	
Locus795	0.0322	0.0138	0.0557	
Locus796	0.0291	0.0138	0.0466	
Locus797	0.0306	0.0118	0.0515	
Locus798	0.0299	0.0121	0.0524	
Locus799	0.0439	0.0257	0.0656	
Locus800	0.0477	0.0269	0.0731	
Locus801	0.0286	0.0162	0.0485	
Locus802	0.0539	0.0356	0.0744	
Locus803	0.0452	0.0252	0.0708	
Locus804	0.0296	0.0127	0.0543	
Locus805	0.0176	0.0065	0.0343	
Locus806	0.0349	0.0174	0.0586	
Locus807	0.028	0.008	0.0511	
Locus808	0.0365	0.0169	0.0585	
Locus809	0.0571	0.0386	0.0789	
Locus810	0.0336	0.0147	0.0522	
Locus811	0.0451	0.0207	0.0855	
Locus812	0.0315	0.018	0.054	
Locus813	0.018	0.0063	0.031	
Locus814	0.0282	0.0119	0.0496	
Locus815	0.0147	0.0037	0.0338	
Locus816	0.0651	0.0422	0.0889	
Locus817	0.0244	0.0081	0.044	
Locus818	0.0217	0.0077	0.0429	
Locus819	0.039	0.0193	0.0623	
Locus820	0.0338	0.0146	0.0579	
Locus821	0.0361	0.0122	0.0689	
Locus822	0.0309	0.0128	0.0551	
Locus823	0.0318	0.0124	0.0523	
Locus824	0.0544	0.0327	0.0776	
Locus825	0.0335	0.0173	0.0582	
Locus826	0.0565	0.0334	0.093	
Locus827	0.0272	0.0136	0.0493	
Locus828	0.0254	0.0105	0.049	
Locus829	0.0468	0.0271	0.0672	
Locus830	0.0336	0.0139	0.0669	
Locus831	0.0174	0.0067	0.0329	
Locus832	0.0244	0.0099	0.0405	
Locus833	0.0397	0.0175	0.0654	
Locus834	0.0178	0.0059	0.0387	
Locus835	0.0225	0.0092	0.0388	
Locus836	0.083	0.0573	0.114	
Locus837	0.0439	0.0262	0.0663	
Locus838	0.0368	0.0154	0.066	
Locus839	0.0191	0.009	0.0329	
Locus840	0.0318	0.0152	0.053	
Locus841	0.0252	0.0111	0.0407	
Locus842	0.0302	0.0144	0.0504	
Locus843	0.0333	0.0145	0.0602	
Locus844	0.0179	0.0056	0.0395	
Locus845	0.0199	0.0085	0.0372	
Locus846	0.0322	0.0162	0.0626	
Locus847	0.0441	0.0245	0.0697	
Locus848	0.0267	0.0122	0.0505	
Locus849	0.0485	0.0278	0.0669	
Locus850	0.0238	0.0082	0.0472	
Locus851	0.0315	0.0134	0.0566	
Locus852	0.0218	0.0102	0.0397	
Locus853	0.0365	0.0192	0.0596	
Locus854	0.026	0.0128	0.0499	
Locus855	0.0201	0.0068	0.0349	
Locus856	0.0452	0.0155	0.0828	
Locus857	0.0245	0.013	0.0474	
Locus858	0.0936	0.0708	0.1241	
Locus859	0.0342	0.0169	0.0573	
Locus860	0.0384	0.0167	0.0652	
Locus861	0.0371	0.0196	0.0617	
Locus862	0.0291	0.0113	0.0647	
Locus863	0.0199	0.0075	0.0367	
Locus864	0.0358	0.0188	0.0598	
Locus865	0.029	0.0135	0.0504	
Locus866	0.0418	0.0238	0.062	
Locus867	0.0162	0.0062	0.0349	
Locus868	0.0317	0.0168	0.0563	
Locus869	0.0313	0.0145	0.0527	
Locus870	0.0337	0.018	0.0544	
Locus871	0.0506	0.0292	0.0724	
Locus872	0.0354	0.0189	0.0536	
Locus873	0.0526	0.0345	0.0792	
Locus874	0.0357	0.0201	0.0573	
Locus875	0.0368	0.021	0.0603	
Locus876	0.0254	0.0107	0.0439	
Locus877	0.0459	0.0238	0.0786	
Locus878	0.0723	0.0416	0.1034	
Locus879	0.0114	0.0031	0.0259	
Locus880	0.0182	0.0076	0.0324	
Locus881	0.0403	0.017	0.0717	
Locus882	0.0268	0.0094	0.0474	
Locus883	0.034	0.0151	0.0576	
Locus884	0.035	0.0161	0.065	
Locus885	0.0179	0.0072	0.029	
Locus886	0.0181	0.0084	0.0362	
Locus887	0.0268	0.0124	0.0493	
Locus888	0.0297	0.0149	0.0487	
Locus889	0.0351	0.0112	0.0578	
Locus890	0.0379	0.0191	0.059	
Locus891	0.046	0.0273	0.07	
Locus892	0.0298	0.0143	0.0539	
Locus893	0.0381	0.0204	0.0597	
Locus894	0.0151	0.0058	0.0271	
Locus895	0.0387	0.0227	0.0631	
Locus896	0.0525	0.0316	0.0821	
Locus897	0.019	0.0058	0.0363	
Locus898	0.016	0.0062	0.032	
Locus899	0.0682	0.0381	0.0957	
Locus900	0.0366	0.0182	0.0575	
Locus901	0.0316	0.0158	0.0509	
Locus902	0.0252	0.0094	0.0502	
Locus903	0.0307	0.0156	0.0505	
Locus904	0.03	0.0118	0.0534	
Locus905	0.0429	0.0236	0.066	
Locus906	0.0553	0.0314	0.0798	
Locus907	0.0557	0.0315	0.0887	
Locus908	0.0406	0.0177	0.0705	
Locus909	0.0182	0.0063	0.0357	
Locus910	0.0169	0.0064	0.0315	
Locus911	0.026	0.0129	0.046	
Locus912	0.0461	0.0266	0.0727	
Locus913	0.0672	0.0429	0.0902	
Locus914	0.0313	0.0167	0.0498	
Locus915	0.0341	0.0133	0.0628	
Locus916	0.0421	0.0189	0.0734	
Locus917	0.0339	0.0188	0.057	
Locus918	0.046	0.0271	0.0721	
Locus919	0.0355	0.0209	0.0591	
Locus920	0.0269	0.012	0.0506	
Locus921	0.0131	0.0044	0.0264	
Locus922	0.0136	0.0053	0.0271	
Locus923	0.0373	0.0169	0.0672	
Locus924	0.0194	0.0087	0.0318	
Locus925	0.0153	0.0047	0.0428	
Locus926	0.0344	0.0176	0.0597	
Locus927	0.0316	0.0135	0.0567	
Locus928	0.0415	0.022	0.0642	
Locus929	0.0198	0.0071	0.0375	
Locus930	0.0174	0.0045	0.0356	
Locus931	0.035	0.0177	0.0587	
Locus932	0.0168	0.0066	0.0325	
Locus933	0.0265	0.011	0.0487	
Locus934	0.0757	0.0562	0.0989	
Locus935	0.0152	0.0052	0.035	
Locus936	0.0498	0.0293	0.0801	
Locus937	0.029	0.0136	0.0519	
Locus938	0.0198	0.0084	0.0362	
Locus939	0.0205	0.0086	0.0427	
Locus940	0.0412	0.0223	0.0613	
Locus941	0.058	0.0318	0.0869	
Locus942	0.0965	0.0702	0.1181	
Locus943	0.0233	0.0088	0.0464	
Locus944	0.0426	0.0243	0.067	
Locus945	0.0198	0.0065	0.0376	
Locus946	0.0455	0.0273	0.0648	
Locus947	0.0412	0.0229	0.0618	
Locus948	0.0378	0.0161	0.0633	
Locus949	0.0265	0.0121	0.0467	
Locus950	0.0539	0.0326	0.0847	
Locus951	0.0445	0.0237	0.0682	
Locus952	0.0324	0.0129	0.0575	
Locus953	0.0508	0.0258	0.0771	
Locus954	0.0393	0.0199	0.0601	
Locus955	0.0402	0.0179	0.0672	
Locus956	0.0476	0.0244	0.0747	
Locus957	0.0458	0.0266	0.0708	
Locus958	0.0723	0.0503	0.0984	
Locus959	0.0139	0.0047	0.033	
Locus960	0.0356	0.0144	0.0668	
Locus961	0.0356	0.0166	0.0605	
Locus962	0.0592	0.0361	0.0898	
Locus963	0.0216	0.0078	0.0485	
Locus964	0.0181	0.0074	0.0366	
Locus965	0.0477	0.0269	0.0732	
Locus966	0.0339	0.016	0.0525	
Locus967	0.0328	0.0139	0.0564	
Locus968	0.0384	0.0229	0.0657	
Locus969	0.032	0.0136	0.0618	
Locus970	0.0407	0.0148	0.0708	
Locus971	0.0519	0.0287	0.084	
Locus972	0.0249	0.0087	0.0515	
Locus973	0.0549	0.0327	0.0776	
Locus974	0.0537	0.0324	0.0807	
Locus975	0.0339	0.0158	0.0593	
Locus976	0.0383	0.0194	0.0655	
Locus977	0.0192	0.007	0.0343	
Locus978	0.0465	0.0252	0.0693	
Locus979	0.0509	0.0263	0.0791	
Locus980	0.0279	0.0131	0.0566	
Locus981	0.0616	0.039	0.0857	
Locus982	0.0435	0.0208	0.0718	
Locus983	0.048	0.0189	0.0828	
Locus984	0.0388	0.0186	0.0636	
Locus985	0.0207	0.0071	0.0369	
Locus986	0.0192	0.0084	0.0401	
Locus987	0.0412	0.0253	0.068	
Locus988	0.0486	0.0275	0.08	
Locus989	0.0485	0.03	0.0714	
Locus990	0.0582	0.0344	0.0889	
Locus991	0.0145	0.0038	0.0301	
Locus992	0.0442	0.0242	0.0682	
Locus993	0.0154	0.0056	0.0296	
Locus994	0.0479	0.0264	0.0755	
Locus995	0.017	0.0077	0.035	
Locus996	0.0512	0.0313	0.0766	
Locus997	0.0213	0.0077	0.0435	
Locus998	0.0357	0.0194	0.0651	
Locus999	0.0435	0.0263	0.07	
Locus1000	0.0316	0.0142	0.0514	
Locus1001	0.0524	0.0286	0.083	
Locus1002	0.0193	0.006	0.0385	
Locus1003	0.0423	0.0222	0.0677	
Locus1004	0.0234	0.0076	0.042	
Locus1005	0.033	0.0152	0.0558	
Locus1006	0.0147	0.0052	0.031	
Locus1007	0.0394	0.0136	0.0717	
Locus1008	0.0387	0.022	0.062	
Locus1009	0.0244	0.0094	0.0501	
Locus1010	0.024	0.0085	0.0428	
Locus1011	0.0397	0.0234	0.0657	
Locus1012	0.0421	0.0215	0.0668	
Locus1013	0.0795	0.0552	0.1075	
Locus1014	0.0388	0.0186	0.0619	
Locus1015	0.0272	0.0122	0.0446	
Locus1016	0.0362	0.021	0.0574	
Locus1017	0.0145	0.0032	0.0278	
Locus1018	0.0419	0.0226	0.0612	
Locus1019	0.0586	0.0348	0.084	
Locus1020	0.0708	0.0415	0.1068	
Locus1021	0.0202	0.0061	0.0421	
Locus1022	0.0169	0.0076	0.0324	
Locus1023	0.0366	0.0222	0.054	
Locus1024	0.0367	0.0188	0.0579	
Locus1025	0.0197	0.0075	0.0373	
Locus1026	0.0538	0.0347	0.0715	
Locus1027	0.0302	0.0158	0.0526	
Locus1028	0.0444	0.0177	0.077	
Locus1029	0.0408	0.0229	0.0608	
Locus1030	0.0121	0.0041	0.0259	
Locus1031	0.0265	0.0114	0.0477	
Locus1032	0.0481	0.027	0.0751	
Locus1033	0.0369	0.0147	0.0669	
Locus1034	0.0325	0.0167	0.0571	
Locus1035	0.03	0.0112	0.0551	
Locus1036	0.0557	0.0336	0.0812	
Locus1037	0.0407	0.0228	0.0669	
Locus1038	0.0447	0.026	0.0718	
Locus1039	0.0444	0.0217	0.078	
Locus1040	0.0409	0.0203	0.0719	
Locus1041	0.0178	0.0066	0.0353	
Locus1042	0.0457	0.0258	0.0623	
Locus1043	0.0237	0.0105	0.0431	
Locus1044	0.0434	0.0199	0.0728	
Locus1045	0.0464	0.022	0.0842	
Locus1046	0.0284	0.0139	0.0443	
Locus1047	0.0585	0.0295	0.1035	
Locus1048	0.0337	0.0185	0.051	
Locus1049	0.0306	0.0178	0.0517	
Locus1050	0.0449	0.0208	0.0748	
Locus1051	0.0446	0.0214	0.0735	
Locus1052	0.0423	0.0248	0.0665	
Locus1053	0.0508	0.0321	0.0791	
Locus1054	0.0746	0.042	0.1116	
Locus1055	0.0193	0.0063	0.0368	
Locus1056	0.0139	0.0042	0.0259	
Locus1057	0.0277	0.0114	0.0477	
Locus1058	0.0282	0.0124	0.0461	
Locus1059	0.0345	0.0159	0.056	
Locus1060	0.0573	0.0368	0.0834	
Locus1061	0.0355	0.0196	0.0577	
Locus1062	0.0464	0.0314	0.0683	
Locus1063	0.0761	0.0517	0.1121	
Locus1064	0.0456	0.0255	0.069	
Locus1065	0.0308	0.0145	0.0531	
Locus1066	0.0282	0.011	0.0593	
Locus1067	0.0402	0.0205	0.0652	
Locus1068	0.0294	0.0129	0.0501	
Locus1069	0.0227	0.0101	0.0401	
Locus1070	0.0474	0.0253	0.0709	
Locus1071	0.0375	0.0179	0.0565	
Locus1072	0.037	0.0205	0.0585	
Locus1073	0.0459	0.0282	0.0685	
Locus1074	0.0374	0.0177	0.0606	
Locus1075	0.0455	0.0256	0.0717	
Locus1076	0.013	0.005	0.0212	
Locus1077	0.0308	0.013	0.0603	
Locus1078	0.0281	0.0125	0.0527	
Locus1079	0.0426	0.0224	0.0682	
Locus1080	0.0253	0.0085	0.0535	
Locus1081	0.0279	0.0126	0.044	
Locus1082	0.0405	0.0191	0.0633	
Locus1083	0.0502	0.0265	0.0829	
Locus1084	0.0202	0.0086	0.0375	
Locus1085	0.0554	0.027	0.0878	
Locus1086	0.0229	0.01	0.0433	
Locus1087	0.0269	0.0108	0.0453	
Locus1088	0.0444	0.0268	0.0658	
Locus1089	0.0422	0.0211	0.064	
Locus1090	0.0428	0.0257	0.0612	
Locus1091	0.0093	0.0022	0.0192	
Locus1092	0.0268	0.0121	0.0462	
Locus1093	0.0189	0.0074	0.0371	
Locus1094	0.036	0.0177	0.0604	
Locus1095	0.0418	0.0239	0.0644	
Locus1096	0.0473	0.025	0.0737	
Locus1097	0.0381	0.0191	0.0666	
Locus1098	0.0436	0.0254	0.0675	
Locus1099	0.0465	0.0237	0.0764	
Locus1100	0.0346	0.0175	0.0591	
Locus1101	0.02	0.0061	0.0339	
Locus1102	0.0349	0.0167	0.054	
Locus1103	0.036	0.0197	0.0587	
Locus1104	0.0614	0.0374	0.0893	
Locus1105	0.0136	0.0047	0.0268	
Locus1106	0.0178	0.0055	0.0366	
Locus1107	0.0328	0.0128	0.0547	
Locus1108	0.0195	0.0065	0.0411	
Locus1109	0.0282	0.0137	0.0445	
Locus1110	0.0414	0.0192	0.0731	
Locus1111	0.0629	0.0339	0.0906	
Locus1112	0.0361	0.0178	0.0608	
Locus1113	0.0256	0.0123	0.0442	
Locus1114	0.0337	0.018	0.0538	
Locus1115	0.0453	0.0238	0.0738	
Locus1116	0.0958	0.0697	0.1189	
Locus1117	0.0291	0.0079	0.0596	
Locus1118	0.0429	0.0267	0.0598	
Locus1119	0.0677	0.0401	0.1015	
Locus1120	0.0344	0.0163	0.0542	
Locus1121	0.0743	0.0503	0.1036	
Locus1122	0.0223	0.0095	0.0429	
Locus1123	0.0291	0.0141	0.054	
Locus1124	0.0482	0.0262	0.072	
Locus1125	0.0201	0.0051	0.0484	
Locus1126	0.0715	0.0407	0.1049	
Locus1127	0.0257	0.0127	0.048	
Locus1128	0.0419	0.026	0.0657	
Locus1129	0.0253	0.0102	0.0486	
Locus1130	0.0291	0.0104	0.0513	
Locus1131	0.0531	0.0299	0.0771	
Locus1132	0.0383	0.0174	0.0605	
Locus1133	0.0171	0.0029	0.0418	
Locus1134	0.0319	0.0146	0.063	
Locus1135	0.0466	0.0268	0.0709	
Locus1136	0.0203	0.0054	0.045	
Locus1137	0.0439	0.0206	0.0673	
Locus1138	0.024	0.0099	0.0409	
Locus1139	0.0369	0.0199	0.0621	
Locus1140	0.0285	0.0121	0.0556	
Locus1141	0.0364	0.0181	0.0629	
Locus1142	0.0451	0.0289	0.0666	
Locus1143	0.0221	0.0066	0.0405	
Locus1144	0.0438	0.0252	0.0643	
Locus1145	0.0497	0.0315	0.0751	
Locus1146	0.0226	0.0094	0.042	
Locus1147	0.045	0.0191	0.0738	
Locus1148	0.043	0.0237	0.0744	
Locus1149	0.0434	0.0249	0.0697	
Locus1150	0.0403	0.0208	0.0638	
Locus1151	0.0403	0.0173	0.0676	
Locus1152	0.0492	0.0276	0.0741	
Locus1153	0.0261	0.0101	0.0487	
Locus1154	0.0371	0.0207	0.057	
Locus1155	0.0442	0.0213	0.0712	
Locus1156	0.0437	0.0252	0.0665	
Locus1157	0.0484	0.0239	0.0728	
Locus1158	0.0324	0.0179	0.0588	
Locus1159	0.0226	0.007	0.0428	
Locus1160	0.0251	0.0102	0.0427	
Locus1161	0.0299	0.0109	0.0551	
Locus1162	0.0338	0.016	0.0571	
Locus1163	0.0367	0.0201	0.0565	
Locus1164	0.0314	0.0136	0.0587	
Locus1165	0.03	0.0121	0.0544	
Locus1166	0.0249	0.009	0.0463	
Locus1167	0.0656	0.0421	0.0923	
Locus1168	0.0516	0.0297	0.0804	
Locus1169	0.0354	0.0154	0.0616	
Locus1170	0.0454	0.0229	0.0692	
Locus1171	0.0403	0.0207	0.0633	
Locus1172	0.0415	0.0235	0.0639	
Locus1173	0.0499	0.0313	0.0766	
Locus1174	0.0683	0.0432	0.0971	
Locus1175	0.0632	0.033	0.089	
Locus1176	0.0463	0.0197	0.078	
Locus1177	0.0506	0.0245	0.0846	
Locus1178	0.0328	0.0174	0.0591	
Locus1179	0.0263	0.0096	0.0496	
Locus1180	0.0532	0.031	0.074	
Locus1181	0.038	0.0209	0.0564	
Locus1182	0.0293	0.0142	0.0489	
Locus1183	0.0474	0.0275	0.0667	
Locus1184	0.024	0.0084	0.0442	
Locus1185	0.0735	0.0526	0.0982	
Locus1186	0.0306	0.0146	0.0518	
Locus1187	0.0427	0.0189	0.0696	
Locus1188	0.0331	0.0176	0.0573	
Locus1189	0.0539	0.0324	0.0823	
Locus1190	0.0375	0.0192	0.063	
Locus1191	0.0413	0.0263	0.0634	
Locus1192	0.0412	0.0235	0.0615	
Locus1193	0.0473	0.0259	0.081	
Locus1194	0.0739	0.0488	0.0978	
Locus1195	0.0404	0.024	0.0599	
Locus1196	0.0504	0.0317	0.0725	
Locus1197	0.0548	0.0333	0.0787	
Locus1198	0.0246	0.0112	0.0454	
Locus1199	0.0622	0.0432	0.0847	
Locus1200	0.0237	0.0103	0.0485	
Overall	0.036	0.0327	0.0397	
G_hed_st				
Locus1	0.0991	0.046	0.1593	
Locus2	0.0633	0.0221	0.1301	
Locus3	0.052	0.0207	0.0936	
Locus4	0.0705	0.0199	0.1387	
Locus5	0.0842	0.0366	0.1507	
Locus6	0.1337	0.0744	0.2065	
Locus7	0.0637	0.0184	0.1263	
Locus8	0.0495	0.0141	0.0915	
Locus9	0.0826	0.041	0.139	
Locus10	0.1515	0.0779	0.2175	
Locus11	0.1016	0.041	0.1602	
Locus12	0.0734	0.0438	0.1145	
Locus13	0.1025	0.059	0.1774	
Locus14	0.0792	0.0271	0.1445	
Locus15	0.0609	0.0236	0.1121	
Locus16	0.036	0.0151	0.0784	
Locus17	0.0629	0.0177	0.1239	
Locus18	0.1372	0.0743	0.2072	
Locus19	0.137	0.0792	0.1948	
Locus20	0.0878	0.0359	0.1601	
Locus21	0.1071	0.0526	0.1703	
Locus22	0.0714	0.0259	0.1505	
Locus23	0.0359	0.011	0.0755	
Locus24	0.1059	0.0527	0.1639	
Locus25	0.0937	0.0487	0.1504	
Locus26	0.0403	0.0147	0.0741	
Locus27	0.1	0.0508	0.1596	
Locus28	0.0697	0.0349	0.1113	
Locus29	0.1309	0.0643	0.2135	
Locus30	0.0444	0.0176	0.0827	
Locus31	0.0705	0.0288	0.1275	
Locus32	0.1098	0.0596	0.166	
Locus33	0.0422	0.0169	0.0829	
Locus34	0.1818	0.1156	0.2646	
Locus35	0.1142	0.0527	0.1827	
Locus36	0.1619	0.0886	0.2223	
Locus37	0.1353	0.0762	0.182	
Locus38	0.1023	0.0449	0.1817	
Locus39	0.0906	0.0353	0.1473	
Locus40	0.0397	0.0117	0.0819	
Locus41	0.0819	0.0421	0.142	
Locus42	0.1021	0.0443	0.176	
Locus43	0.2079	0.1615	0.2545	
Locus44	0.0673	0.0185	0.1297	
Locus45	0.0316	0.0118	0.064	
Locus46	0.0882	0.0423	0.1388	
Locus47	0.0764	0.0303	0.1469	
Locus48	0.0682	0.0321	0.1246	
Locus49	0.0577	0.0158	0.1093	
Locus50	0.0561	0.022	0.1116	
Locus51	0.2331	0.1666	0.2983	
Locus52	0.0381	0.0154	0.0669	
Locus53	0.1137	0.0617	0.185	
Locus54	0.0987	0.0427	0.1539	
Locus55	0.1038	0.0526	0.1729	
Locus56	0.0647	0.0272	0.1244	
Locus57	0.061	0.0306	0.1033	
Locus58	0.0779	0.027	0.1445	
Locus59	0.0202	0.0038	0.0491	
Locus60	0.0853	0.0443	0.1454	
Locus61	0.0894	0.0344	0.1556	
Locus62	0.0778	0.0318	0.1233	
Locus63	0.122	0.074	0.1853	
Locus64	0.0587	0.0209	0.0991	
Locus65	0.0732	0.0372	0.1326	
Locus66	0.117	0.0544	0.1875	
Locus67	0.0593	0.0205	0.1118	
Locus68	0.0755	0.0289	0.1358	
Locus69	0.1864	0.1362	0.2556	
Locus70	0.0398	0.0134	0.073	
Locus71	0.0408	0.0172	0.0745	
Locus72	0.1339	0.0823	0.1905	
Locus73	0.0828	0.0374	0.1502	
Locus74	0.0534	0.0176	0.0972	
Locus75	0.1177	0.0578	0.1943	
Locus76	0.0877	0.0322	0.1547	
Locus77	0.0449	0.018	0.0843	
Locus78	0.1769	0.1166	0.2314	
Locus79	0.088	0.0322	0.1505	
Locus80	0.0644	0.03	0.1059	
Locus81	0.1434	0.0879	0.2072	
Locus82	0.0369	0.0125	0.0738	
Locus83	0.2186	0.1539	0.297	
Locus84	0.1554	0.1	0.2103	
Locus85	0.1097	0.0644	0.1727	
Locus86	0.0635	0.0269	0.1234	
Locus87	0.0794	0.0423	0.1277	
Locus88	0.1612	0.1048	0.2319	
Locus89	0.057	0.0195	0.1138	
Locus90	0.0553	0.0144	0.1019	
Locus91	0.1517	0.0993	0.2086	
Locus92	0.0745	0.0348	0.1206	
Locus93	0.0925	0.0502	0.1389	
Locus94	0.0706	0.027	0.1391	
Locus95	0.0839	0.0327	0.1583	
Locus96	0.1393	0.0738	0.2011	
Locus97	0.1087	0.0621	0.1677	
Locus98	0.0646	0.0251	0.1143	
Locus99	0.1844	0.1267	0.2567	
Locus100	0.1274	0.0818	0.1856	
Locus101	0.1031	0.0395	0.1906	
Locus102	0.1628	0.1143	0.2351	
Locus103	0.0758	0.0359	0.1261	
Locus104	0.0772	0.0303	0.1423	
Locus105	0.069	0.0323	0.1262	
Locus106	0.0535	0.0231	0.1018	
Locus107	0.1052	0.0543	0.1583	
Locus108	0.0691	0.0222	0.1459	
Locus109	0.0829	0.0249	0.1523	
Locus110	0.0578	0.0201	0.1026	
Locus111	0.0462	0.019	0.0854	
Locus112	0.075	0.0437	0.126	
Locus113	0.1399	0.0671	0.2094	
Locus114	0.0923	0.0496	0.1687	
Locus115	0.1322	0.0574	0.2262	
Locus116	0.0642	0.0225	0.1163	
Locus117	0.1313	0.0665	0.2229	
Locus118	0.1859	0.1112	0.2558	
Locus119	0.0506	0.021	0.0913	
Locus120	0.0694	0.0296	0.1248	
Locus121	0.0799	0.0333	0.1423	
Locus122	0.2077	0.1387	0.2988	
Locus123	0.1413	0.085	0.2018	
Locus124	0.0495	0.0203	0.0842	
Locus125	0.0539	0.0203	0.1073	
Locus126	0.0961	0.0557	0.1588	
Locus127	0.1064	0.055	0.1844	
Locus128	0.1625	0.0906	0.2301	
Locus129	0.0651	0.0201	0.128	
Locus130	0.1238	0.0689	0.1863	
Locus131	0.0505	0.0216	0.1089	
Locus132	0.0414	0.0154	0.0804	
Locus133	0.0939	0.0494	0.143	
